Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,hi-in,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.Debugger.Plugin.Name,,,Debugger,Debugger,مصحح الأخطاء,Debugger,Depurador,Débogueur,डीबगर,Debugger,Debugger,デバッガー,디버거,Debugger,Depurador,,เครื่องมือแก้ไขจุดบกพร่อง,Hata Ayıklayıcı,Trình gỡ lỗi,调试器,调试器,偵錯工具
Studio.Debugger.Plugin.Toolbar,,,Debugger,Debugger,مصحح الأخطاء,Debugger,Depurador,Debugger,डीबगर,Debugger,Debugger,デバッガー,디버거,Debugger,Depurador,,เครื่องมือ Debug,Hata Ayıklayıcı,Trình Gỡ Lỗi,调试器,调试器,偵錯工具
Studio.Debugger.Plugin.Button,,,Toggle,Toggle,تبديل,Umschalten,Alternar,Basculer,टॉगल करें,Nyalakan/matikan,Attiva/disattiva,切りかえ,전환,Przełącz,Alternar,,เปิด/ปิด,Aç/Kapa,Bật/Tắt,切换,切换,切換
Studio.Debugger.Plugin.Description,,,Toggles the Debugger plugin window.,Toggles the Debugger plugin window.,يبدّل نافذة المكوَّن الإضافي لمصحح الأخطاء.,Schaltet das Debugger-Plugin-Fenster um.,Alterna la ventana del plugin Debugger.,Bascule la fenêtre du plugin du debugger.,डिबगर प्लग-इन विंडो को टॉगल करता है.,Menyalakan/mematikan jendela plugin Debugger.,Attiva/disattiva la finestra di plugin Debugger.,デバッガーのプラグインウィンドウを切りかえ。,디버거 플러그인 창을 전환합니다.,Włącza/wyłącza okno dodatku plug-in debuggera.,Alterna a janela do plugin Depurador.,,เปิด/ปิดหน้าต่างปลั๊กอินเครื่องมือ Debug,Hata Ayıklayıcı eklenti penceresini açıp kapatır.,Bật/tắt cửa sổ plugin Trình Gỡ Lỗi.,切换调试器插件窗口。,切换调试器插件窗口。,切換偵錯工具外掛程式視窗。
Studio.Debugger.EditBreakpoint.DialogName,,,Edit Breakpoint,Edit Breakpoint,تعديل نقطة التوقف,Haltepunkt bearbeiten,Editar punto de interrupción,Modifier le point d'arrêt,ब्रेकपॉइंट एडिट करें,Edit Breakpoint,Modifica breakpoint,ブレークポイントを編集,중단점 편집,Edytuj punkt przerwania,Editar ponto de interrupção,,แก้ไข Breakpoint,Kesme Noktasını düzenle,Chỉnh Sửa Điểm Dừng,编辑断点,编辑断点,編輯斷點
Studio.Debugger.Callstack.WindowName,,,Call Stack,Call Stack,مكدس الاستدعاءات,Aufrufliste,Pila de llamadas,Appeler la pile,कॉल स्टैक,Call Stack,Call stack,コールスタック,호출 스택,Stos wywołań,Pilha de chamadas,,Call Stack,Çağrı Yığını,Ngăn Xếp Cuộc Gọi,调用堆栈,调用堆栈,呼叫堆疊
Studio.Debugger.Callstack.FrameColumn,,,Frame,Frame,إطار,Bild,Cuadro,Cadre,फ़्रेम,Frame,Frame,フレーム,프레임,Klatka,Quadro,,เฟรม,Çerçeve,Khung Hình,帧,帧,影格
Studio.Debugger.Callstack.WhatColumn,,,What,What,ماذا,Was,Qué,Quoi,क्या,Apa,Cosa,名前,대상,Co,Que,,อะไร,Ne,Cái Gì,类型,类型,名稱
Studio.Debugger.Callstack.FunctionNameColumn,,,Function Name,Function Name,اسم الدالة,Funktionsname,Nombre de la función,Nom de la fonction,फ़ंक्शन का नाम,Nama Fungsi,Nome funzione,関数名,함수 이름,Nazwa funkcji,Nome da função,,ชื่อฟังก์ชัน,İşlev Adı,Tên Hàm,函数名称,函数名称,函式名稱
Studio.Debugger.Callstack.LineNumberColumn,,,Line No.,Line No.,رقم السطر,Zeilen-Nr.,Número de línea,N° de ligne,लाइन नंबर,No. Baris,Riga num.,行番号,줄 번호,Nr wiersza,Nº da linha,,หมายเลขบรรทัด,Satır No.,Số Dòng,行号,行号,行號
Studio.Debugger.Callstack.SourceColumn,,,Source,Source,المصدر,Quelle,Fuente,Source,सोर्स,Sumber,Sorgente,ソース,소스,Źródło,Fonte,Исходник,แหล่งที่มา,Kaynak,Nguồn,来源,来源,來源
Studio.Debugger.Callstack.CurrentScriptTitle,,,Current Script:,Current Script:,البرنامج النصي الحالي:,Aktuelles Skript:,Script actual:,Script en cours:,मौजूदा स्क्रिप्ट : ,Skrip Saat Ini:,Script attuale:,現在のスクリプト:,현재 스크립트:,Bieżący skrypt:,Script atual:,Текущий скрипт:,สคริปต์ปัจจุบัน:,Mevcut Betik:,Kịch Bản Hiện Tại:,当前脚本： ,当前脚本： ,目前指令碼：
