Key,Context,Example,Source,de,en-us,es,es-es,fr,id,it,ja,ko,pt,pt-br,ru,th-th,zh-cn,zh-tw,zh-cjv,pl,vi,tr,ar
Feature.NativeAds.Action.EnterExperience,,,Enter the Experience,Experience betreten,Enter the Experience,Ingresar a la experiencia,Ingresar a la experiencia,Entrer l'expérience,Masuk ke Pengalaman Virtual,Entra nell'esperienza,バーチャル空間に入る,체험 입장하기,Entrar na experiência,Entrar na experiência,Войти в плейс,กรอกประสบการณ์,进入体验,進入體驗,进入体验,Wprowadź projekt,Vào Trải Nghiệm,Deneyime Gir,الدخول إلى التجربة
Feature.NativeAds.Action.ReturnToExperience,,,Return to Experience,Zur Experience zurück,Return to Experience,Volver a la experiencia,Volver a la experiencia,Retourner à l'expérience,Kembali ke Pengalaman Virtual,Ritorna all'esperienza,バーチャル空間に戻る,체험으로 돌아가기,Voltar à experiência,Voltar à experiência,Вернуться в плейс,กลับไปยังประสบการณ์,返回体验,返回體驗,返回体验,Wróć do projektu,Quay Lại Trải Nghiệm,Deneyime Dön,العودة إلى التجربة
Feature.NativeAds.Description.AdPortalMissing,,,AdPortal doesn't exist,AdPortal existiert nicht,AdPortal doesn't exist,AdPortal no existe,AdPortal no existe,AdPortal n'existe pas,AdPortal tidak ada,AdPortal non esiste,AdPortal が存在しません,AdPortal이 존재하지 않습니다,O AdPortal não existe,O AdPortal não existe,AdPortal не существует,ไม่มี AdPortal ,AdPortal 不存在,廣告傳送門不存在,AdPortal 不存在,AdPortal nie istnieje,AdPortal không tồn tại,AdPortal mevcut değil,AdPortal غير موجود
Feature.NativeAds.Description.AdPortalParentMissing,,,Parent does not exist,Übergeordnetes Teil existiert nicht,Parent does not exist,El padre no existe,El padre no existe,Le parent n'existe pas,Orang tua tidak ada,Parent non esistente,親が存在しません,부모가 존재하지 않습니다,O pai não existe,O pai não existe,Parent не существует,ไม่มี Parent,父项不存在,父項目不存在,父项不存在,Element nadrzędny nie istnieje,Phần Tử Cấp Trên không tồn tại,Parent yok,الأصل غير موجود
Feature.NativeAds.Description.InvalidAdGuiAdornee,,,AdGui's Adornee is not a Part,AdGuis Adornee ist kein Teil,AdGui's Adornee is not a Part,Adornee de AdGui no es una Pieza,Adornee de AdGui no es una Pieza,Le cadre AdGui n'est pas une partie,Adornee AdGui bukan suatu Bagian,Adornee di AdGui non è una parte,AdGui の出力場所はパーツではありません,AdGui의 Adornee가 파트가 아닙니다,A moldura do AdGui não é uma parte,A moldura do AdGui não é uma parte,AdGui's Adornee не является частью,Adornee ของ AdGui ไม่ใช่ส่วนประกอบ,AdGui 的附着对象不是一个项目,廣告 GUI 的附著表面不是零件,AdGui 的附着对象不是一个项目,Adornee elementu AdGui nie jest obiektem Part,Adornee trong AdGui không phải là một Thành Phần,AdGui'nin Adornee'si bir Part değil,AdGui's Adornee ليس جزءًا
Feature.NativeAds.Description.InvalidAdGuiAdorneePosition,,,AdGui's Adornee position is invalid,AdGuis Adornee-Position ist ungültig,AdGui's Adornee position is invalid,La posición de Adornee de AdGui no es válida,La posición de Adornee de AdGui no es válida,La position de l'image AdGui n'est pas valide,Posisi Adornee AdGui tidak valid,La posizione di Adornee di AdGui non è valida,AdGui の出力場所の位置が無効です,AdGui의 Adornee 위치가 유효하지 않습니다,A posição da moldura do AdGui é inválida,A posição da moldura do AdGui é inválida,Позиция AdGui's Adornee неверная,ตำแหน่ง Adornee ของ AdGui ไม่ถูกต้อง,AdGui 的附着对象的位置无效,廣告 GUI 的附著表面位置無效,AdGui 的附着对象的位置无效,Adornee elementu AdGui ma nieprawidłową pozycję,Vị trí của Adornee trong AdGui không hợp lệ,AdGui'nin Adornee pozisyonu geçersiz,موقع AdGui's Adornee غير صالح
Feature.NativeAds.Description.InvalidAdGuiAdorneeRotation,,,AdGui's Adornee rotation is invalid,AdGuis Adornee-Drehung ist ungültig,AdGui's Adornee rotation is invalid,La rotación de Adornee de AdGui no es válida,La rotación de Adornee de AdGui no es válida,La rotation du cadre AdGui est invalide,Rotasi Adornee AdGui tidak valid,La rotazione Adornee di AdGui non è valida,AdGui の出力場所の回転が無効です,AdGui의 Adornee 회전이 유효하지 않습니다,A rotação da moldura do AdGui é inválida,A rotação da moldura do AdGui é inválida,Вращение AdGui's Adornee не удалось,การหมุน Adornee ของ AdGui ไม่ถูกต้อง,AdGui 的附着对象旋转无效,廣告 GUI 的附著表面旋轉無效,AdGui 的附着对象旋转无效,Adornee elementu AdGui ma nieprawidłową rotację,Tính luân phiên của Adornee trong AdGui không hợp lệ,AdGui'nin Adornee rotasyonu geçersiz,دوران AdGui's Adornee غير صالح
Feature.NativeAds.Description.InvalidAdGuiAdorneeShape,,,AdGui's Adornee is not in Block shape,AdGuis Adornee ist nicht in Blockform,AdGui's Adornee is not in Block shape,Adornee de AdGui no tiene la forma de bloque,Adornee de AdGui no tiene la forma de bloque,Le cadre AdGui n'est pas en forme de bloc,Adornee AdGui tidak dalam bentuk Blok,Adornee di AdGui non ha la forma di un blocco,AdGui の出力場所は、ブロック型ではありません,AdGui의 Adornee가 블록 모양이 아닙니다,A moldura do AdGui não é em forma de bloco,A moldura do AdGui não é em forma de bloco,AdGui's Adornee не в форме блока,Adornee ของ AdGui ไม่ใช่รูปทรงบล็อก,AdGui 的附着对象不是方块状,廣告 GUI 的附著表面形狀不是方塊,AdGui 的附着对象不是方块状,Adornee elementu AdGui nie ma kształtu Block,Adornee trong AdGui không ở dạng Khối,AdGui'nin Adornee'si Blok şeklinde değil,Adornee Adgui ليست في Block shape
Feature.NativeAds.Description.InvalidAdGuiAdorneeSize,,,AdGui's Adornee size is invalid,AdGuis Adornee-Größe ist ungültig,AdGui's Adornee size is invalid,El tamaño de Adornee de AdGui no es válido,El tamaño de Adornee de AdGui no es válido,La taille de l'image AdGui n'est pas valide,Ukuran Adornee AdGui tidak valid,La dimensione Adornee di AdGui è non valida,AdGui の出力場所のサイズが無効です,AdGui의 Adornee 크기가 유효하지 않습니다,O tamanho da moldura do AdGui é inválida,O tamanho da moldura do AdGui é inválida,Размер AdGui's Adornee неверный,ขนาด Adornee ของ AdGui ไม่ถูกต้อง,AdGui 的附着对象的大小无效,廣告 GUI 的附著表面大小無效,AdGui 的附着对象的大小无效,Adornee elementu AdGui ma nieprawidłowy rozmiar,Kích cỡ Adornee trong AdGui không hợp lệ,AdGui'nin Adornee boyutu geçersiz,حجم AdGui's Adornee غير صالح
Feature.NativeAds.Description.InvalidAdGuiValidation,,,AdGui validation failed,AdGui Validierung fehlgeschlagen,AdGui validation failed,Error de validación de AdGui,Error de validación de AdGui,La validation AdGui a échoué,Validasi AdGui gagal,Validazione di AdGui non riuscita,AdGui を認証できませんでした,AdGui 유효성 검사에 실패했습니다,A validação do AdGui falhou,A validação do AdGui falhou,Проверка AdGui не удалась,ตรวจสอบความถูกต้องของ AdGui ไม่สำเร็จ,AdGui 验证失败,廣告 GUI 驗證失敗,AdGui 验证失败,Weryfikacja elementu AdGui nieudana,Xác minh AdGui thất bại,AdGui doğrulaması başarısız,تعذر التحقق من صحة AdGui
