Key,Source,en-us,ko,ru,zh-cn
Studio.PluginInstallation.Meta.PluginWindowName,Plugin Installation,Plugin Installation,플러그인 설치,Установка плагина,插件安装
Studio.PluginInstallation.Details.Back,Back,Back,뒤로,Назад,返回
Studio.PluginInstallation.Main.InstallingPlugin,Installing plugin : {1},Installing plugin : {1},플러그인 설치: {1},Установка плагина: {1},正在安装插件： {1}
Studio.PluginInstallation.Progress.HttpError,HTTP Error. Could not fetch information about this plugin. Try again later. {1},HTTP Error. Could not fetch information about this plugin. Try again later. {1},HTTP 오류. 이 플러그인에 대한 정보를 가져오지 못했습니다. 나중에 다시 시도하세요. {1},Ошибка HTTP. Не удалось получить информацию о плагине. Повторите попытку позже. {1},HTTP 错误。无法获取关于此插件的信息，请稍后重试。{1}
Studio.PluginInstallation.Main.ErrorNoId,Error : No plugin to install,Error : No plugin to install,오류: 설치할 플러그인이 없음,Ошибка: плагин не установлен,错误：未发现可安装的插件
Studio.PluginInstallation.Progress.CompletedMessage,{1} successfully installed.,{1} successfully installed.,{1}을(를) 설치했습니다.,Плагин {1} установлен.,已成功安装 {1} 。
Studio.PluginInstallation.Details.ScriptInjection,Script Injection,Script Injection,스크립트 삽입, ,脚本注入
Studio.PluginInstallation.Progress.Completed,Installation Complete!,Installation Complete!,설치 완료!,Установка завершена!,安装完成！
Studio.PluginInstallation.Dialog.Ok,OK,OK,확인,ОК,确认
Studio.PluginInstallation.Details.HttpRequestInfo,"By allowing HTTP requests, 3rd party developers are able to gather information on your machine. These might be harmless (such as crash logs) or malicious (such as gathering information on your game's scripts). Disabling HTTP requests might result in a non-working plugin.","By allowing HTTP requests, 3rd party developers are able to gather information on your machine. These might be harmless (such as crash logs) or malicious (such as gathering information on your game's scripts). Disabling HTTP requests might result in a non-working plugin.",HTTP 요청을 허용하면 타사 개발자가 내 컴퓨터에 대한 정보를 수집할 수 있게 됩니다. 이는 무해(예: 충돌 로그)하거나 악의적(예: 게임 스크립트에 대한 정보 수집)일 수 있습니다. HTTP 요청을 비활성화하면 플러그인이 작동하지 않을 수 있습니다., ,允许 HTTP 请求运行后，第三方开发者将可以从您的电脑上收集各类信息。其中可能包括无害信息（例如崩溃日志等）或有害信息（例如您的游戏脚本信息等）。禁用 HTTP 请求可能会导致插件失效。
Studio.PluginInstallation.DialogTitle.InstallPlugin,Installing plugin,Installing plugin,플러그인 설치,Установка плагина,正在安装插件
Studio.PluginInstallation.Progress.NotOwned,You do not own this plugin. {1},You do not own this plugin. {1},이 플러그인을 소유하고 있지 않습니다. {1},Вы не владеете этим плагином. {1},你尚未拥有当前插件。{1}
Studio.PluginInstallation.Progress.Unavailable,Could not fetch information about this plugin. Try again later. {1},Could not fetch information about this plugin. Try again later. {1},이 플러그인에 대한 정보를 가져오지 못했습니다. 나중에 다시 시도하세요. {1},Не удалось получить информацию о плагине. Повторите попытку позже. {1},无法获取关于此插件的信息，请稍后重试。{1}
Studio.PluginInstallation.Progress.NotInstalled,Plugin Installation Failed. Please try again. {1},Plugin Installation Failed. Please try again. {1},플러그인을 설치하지 못했습니다. 나중에 다시 시도하세요. {1},Неудачная установка плагина. Повторите попытку позже. {1},插件安装失败，请稍后重试。{1}
Studio.PluginInstallation.Details.Creator,Creator,Creator,크리에이터,Автор,创建者
Studio.PluginInstallation.Loading.UpdatingMessage,Updating plugins...,Updating plugins...,플러그인 업데이트 중...,Обновляются плагины...,正在更新插件…
Studio.PluginInstallation.Progress.AlreadyInstalled,This plugin is already installed. {1},This plugin is already installed. {1},이 플러그인은 이미 설치되어 있습니다. {1},Этот плагин уже установлен. {1},此插件已经安装完毕。{1}
Studio.PluginInstallation.Manage.WindowTitle,Plugin Management,Plugin Management,플러그인 관리,Управление плагинами,插件管理
Studio.PluginInstallation.Toolbar.ToolbarTitle,Tools,Tools,도구,Инструменты,工具
